periodo,asesor,fecha_operacion,contrato,comision,valor_neto,porcentaje_comision,forma_pago,numero_recibo,hoja_origen
202504,AE010,2025-04-06 00:00:00,IPD15,607.05,4047.01,0.15,efe,40613,B0001
202506,AE042,2025-06-05 00:00:00,LBLI4,1175.6,11756.01,0.1,transf,47210,B0001
202508,AE002,2025-08-03 00:00:00,7MPNJ,2276.64,22766.42,0.1,transf,11570,B0001
202507,AE026,2025-07-29 00:00:00,PAM7W,7144.72,47631.46,0.15,efe,85046,B0001
202508,AE012,2025-08-03 00:00:00,Q1VFU,1588.3,15883.04,0.1,transf,16055,B0001
202506,AE016,2025-06-17 00:00:00,7C8LK,221.8,2217.99,0.1,tc,51618,B0001
202509,AE018,2025-09-07 00:00:00,OXIMQ,3760.78,25071.86,0.15,tc,66257,B0001
202510,AE006,2025-10-08 00:00:00,9WEY0,2083.36,13889.05,0.15,efe,22295,B0001
202504,AE047,2025-04-11 00:00:00,RVWVI,2444.57,16297.14,0.15,efe,52253,B0001
202509,AE012,2025-09-20 00:00:00,F1IP0,222.64,4452.72,0.05,transf,93058,B0001
202509,AE036,2025-09-26 00:00:00,FLCU4,3752.66,37526.6,0.1,transf,59222,B0001
202506,AE050,2025-06-14 00:00:00,5NKB4,4353.2,43532.03,0.1,transf,25753,B0001
202505,AE028,2025-05-24 00:00:00,OW2FE,728.55,14571.01,0.05,efe,99647,B0001
202509,AE022,2025-09-02 00:00:00,XIYGW,1533.27,30665.32,0.05,efe,38271,B0001
202504,AE029,2025-04-24 00:00:00,FH6MB,2520.58,25205.8,0.1,efe,43720,B0001
202507,AE019,2025-07-10 00:00:00,DAPIC,1709.03,17090.25,0.1,tc,97941,B0001
202502,AE048,2025-02-20 00:00:00,KQUZQ,1307.24,26144.7,0.05,tc,26659,B0001
202505,AE031,2025-05-13 00:00:00,UBN2R,3169.85,21132.3,0.15,efe,93323,B0001
202503,AE014,2025-03-08 00:00:00,WAWR6,1426.91,28538.2,0.05,transf,61875,B0001
202509,AE049,2025-09-08 00:00:00,Q5HMP,1875.83,12505.55,0.15,transf,24997,B0001
202505,AE019,2025-05-29 00:00:00,TJH2I,4070.03,27133.55,0.15,transf,66561,B0001
202505,AE007,2025-05-15 00:00:00,MR3U9,690.38,13807.65,0.05,transf,36058,B0001
202508,AE021,2025-08-10 00:00:00,9FVOS,426.29,4262.93,0.1,transf,14821,B0001
202501,AE036,2025-01-03 00:00:00,P7CF4,4692.44,46924.43,0.1,efe,37199,B0001
202504,AE027,2025-04-02 00:00:00,NPANW,381.81,3818.07,0.1,efe,13384,B0001
202502,AE024,2025-02-02 00:00:00,SUKXM,1264.05,8427.01,0.15,tc,89629,B0001
202506,AE022,2025-06-02 00:00:00,M7MRT,1282.24,12822.4,0.1,efe,87167,B0001
202507,AE034,2025-07-04 00:00:00,JI93L,2715.75,27157.54,0.1,tc,42306,B0001
202505,AE043,2025-05-06 00:00:00,1UOKF,299.24,1994.9,0.15,efe,58660,B0001
202505,AE005,2025-05-12 00:00:00,CUT9X,2365.61,47312.18,0.05,efe,26278,B0001
202507,AE006,2025-07-14 00:00:00,Q3HTW,2028.09,40561.81,0.05,efe,38042,B0001
202509,AE050,2025-09-15 00:00:00,WD853,1175.88,23517.54,0.05,efe,37324,B0001
202510,AE050,2025-10-31 00:00:00,RZHEK,2322.94,23229.38,0.1,efe,43308,B0001
202502,AE025,2025-02-11 00:00:00,R38L1,663.94,6639.44,0.1,efe,74617,B0001
202502,AE006,2025-02-09 00:00:00,IC5DR,1847.16,12314.39,0.15,transf,65052,B0001
202511,AE040,2025-11-28 00:00:00,I18B4,4884.71,32564.74,0.15,transf,61503,B0001
202508,AE003,2025-08-15 00:00:00,TB9TP,4288.74,28591.57,0.15,transf,60092,B0001
202511,AE003,2025-11-18 00:00:00,5M33V,313.62,3136.19,0.1,efe,76066,B0001
202505,AE044,2025-05-04 00:00:00,0HHQI,2327.21,23272.14,0.1,tc,69372,B0001
202507,AE021,2025-07-12 00:00:00,D3BJM,4657.03,46570.3,0.1,transf,15608,B0001
202505,AE033,2025-05-27 00:00:00,I8IW9,4859.58,32397.23,0.15,transf,55042,B0001
202501,AE039,2025-01-12 00:00:00,WE0WP,3385.13,33851.3,0.1,efe,21150,B0001
202511,AE042,2025-11-09 00:00:00,VEEQV,940.95,18819.06,0.05,transf,18086,B0001
202505,AE012,2025-05-08 00:00:00,R9WV0,530.99,5309.91,0.1,tc,81568,B0001
202506,AE027,2025-06-11 00:00:00,P1C8N,1570.16,31403.27,0.05,efe,68907,B0001
202506,AE013,2025-06-19 00:00:00,6T55P,338.15,2254.3,0.15,efe,18483,B0001
202503,AE012,2025-03-02 00:00:00,CGZ38,2381.64,47632.73,0.05,efe,53388,B0001
202503,AE044,2025-03-24 00:00:00,TBEHN,1365.58,27311.65,0.05,transf,91888,B0001
202504,AE046,2025-04-10 00:00:00,J0CTG,3464.68,34646.8,0.1,tc,87303,B0001
202505,AE018,2025-05-03 00:00:00,K3JR8,6101.6,40677.35,0.15,tc,33680,B0001
202502,AE049,2025-02-28 00:00:00,D663U,859.41,8594.11,0.1,efe,62357,B0001
202512,AE026,2025-12-16 00:00:00,E5220,1873.09,12487.29,0.15,tc,89830,B0001
202510,AE036,2025-10-06 00:00:00,9QOUK,509.47,5094.69,0.1,efe,77331,B0001
202504,AE025,2025-04-04 00:00:00,S7S0X,102.91,1029.14,0.1,efe,79184,B0001
202509,AE043,2025-09-16 00:00:00,04ZM0,3988.36,39883.63,0.1,efe,19072,B0001
202510,AE016,2025-10-08 00:00:00,FB5SK,4633.06,46330.61,0.1,transf,73398,B0001
202507,AE039,2025-07-05 00:00:00,Y3RJ5,3417.55,34175.49,0.1,transf,38615,B0001
202507,AE041,2025-07-08 00:00:00,GFF67,1303.28,8688.53,0.15,transf,14857,B0001
202509,AE027,2025-09-25 00:00:00,HL1FS,4041.46,40414.55,0.1,tc,44453,B0001
202511,AE008,2025-11-01 00:00:00,VHXO2,1885.23,18852.31,0.1,efe,23618,B0001
202509,AE049,2025-09-10 00:00:00,4WFIG,1205.92,8039.48,0.15,efe,68753,B0001
202502,AE018,2025-02-11 00:00:00,5GZ0X,4362.77,43627.72,0.1,efe,61362,B0001
202502,AE049,2025-02-02 00:00:00,492L2,2271.85,45436.91,0.05,efe,52023,B0001
202512,AE003,2025-12-14 00:00:00,7X13G,1091.19,21823.71,0.05,transf,14514,B0001
202512,AE033,2025-12-03 00:00:00,L85JQ,4744.42,47444.18,0.1,transf,30193,B0001
202509,AE013,2025-09-06 00:00:00,4NPY5,2521.14,25211.39,0.1,transf,39842,B0001
202509,AE008,2025-09-13 00:00:00,DAPIC,2421.46,24214.61,0.1,tc,19705,B0001
202510,AE006,2025-10-20 00:00:00,CTSJX,604.35,6043.52,0.1,tc,12534,B0001
202504,AE019,2025-04-25 00:00:00,MI9NZ,7036.11,46907.41,0.15,tc,12538,B0001
202502,AE021,2025-02-24 00:00:00,VIZ5W,3127.99,31279.93,0.1,transf,94965,B0001
202507,AE032,2025-07-13 00:00:00,NAPKP,4191.45,41914.5,0.1,tc,15180,B0001
202506,AE049,2025-06-28 00:00:00,8WXK6,3251.42,21676.16,0.15,efe,70866,B0001
202502,AE002,2025-02-05 00:00:00,9D7SA,7385.72,49238.14,0.15,tc,69339,B0001
202510,AE020,2025-10-25 00:00:00,Z78RH,2377.41,47548.15,0.05,efe,58016,B0001
202505,AE050,2025-05-13 00:00:00,YRCXG,2821.63,28216.25,0.1,tc,26808,B0001
202504,AE010,2025-04-30 00:00:00,9D7SA,5251.53,35010.22,0.15,efe,16134,B0001
202508,AE048,2025-08-12 00:00:00,5ZQQN,784.14,15682.89,0.05,transf,50036,B0001
202502,AE033,2025-02-10 00:00:00,SVLPD,4481.5,44814.95,0.1,tc,74129,B0001
202503,AE002,2025-03-27 00:00:00,I7X4W,2220.36,14802.43,0.15,efe,74126,B0001
202512,AE021,2025-12-18 00:00:00,LZP77,581.51,11630.17,0.05,tc,75183,B0001
202510,AE025,2025-10-19 00:00:00,1PE28,905.47,18109.45,0.05,tc,89431,B0001
202503,AE049,2025-03-27 00:00:00,ZH6YM,1273.3,8488.64,0.15,efe,94721,B0001
202503,AE011,2025-03-20 00:00:00,84IQ6,1448.19,14481.86,0.1,tc,26054,B0001
202512,AE031,2025-12-22 00:00:00,HZZBV,1423.88,14238.83,0.1,transf,18240,B0001
202510,AE016,2025-10-09 00:00:00,KQ25K,1376.64,27532.77,0.05,transf,21387,B0001
202505,AE033,2025-05-12 00:00:00,JYQ25,1371.11,13711.11,0.1,transf,66309,B0001
202512,AE002,2025-12-29 00:00:00,OPQ30,1329.05,26580.91,0.05,transf,24687,B0001
202506,AE015,2025-06-05 00:00:00,O9A1R,2450.73,16338.18,0.15,efe,24751,B0001
202509,AE044,2025-09-16 00:00:00,OKCCC,150,40623.7,0.1,tc,31843,B0001
202509,AE006,2025-09-22 00:00:00,IGX75,2069.94,41398.72,0.05,transf,34306,B0001
202507,AE023,2025-07-01 00:00:00,519J8,2954.14,19694.29,0.15,transf,23099,B0001
202501,AE029,2025-01-30 00:00:00,46LXY,6922.23,46148.2,0.15,efe,63803,B0001
202506,AE016,2025-06-16 00:00:00,VWBMK,369.11,3691.13,0.1,transf,13077,B0001
202508,AE024,2025-08-30 00:00:00,BLCQ6,1266.24,12662.35,0.1,tc,94737,B0001
202503,AE049,2025-03-23 00:00:00,MGUOQ,1593.71,15937.13,0.1,tc,47108,B0001
202511,AE001,2025-11-26 00:00:00,GPR4R,2221.59,44431.75,0.05,efe,28614,B0001
202511,AE030,2025-11-21 00:00:00,DY4A0,1659.08,33181.68,0.05,efe,84385,B0001
202505,AE020,2025-05-04 00:00:00,UR8DL,6022.74,40151.59,0.15,efe,86355,B0001
202510,AE047,2025-10-02 00:00:00,R1CV1,322.61,3226.07,0.1,transf,35597,B0001
202511,AE043,2025-11-11 00:00:00,HZ9D4,4242.93,42429.32,0.1,tc,35158,B0001
202501,AE005,2025-01-04 00:00:00,JCNX4,1373.67,13736.65,0.1,tc,63222,B0001
202510,AE016,2025-10-19 00:00:00,RKB1C,3583.08,35830.81,0.1,efe,75976,B0001
202512,AE001,2025-12-06 00:00:00,3314C,1545.72,15457.18,0.1,efe,89240,B0001
202511,AE032,2025-11-12 00:00:00,Z6I4B,2218.91,44378.27,0.05,efe,24372,B0001
202503,AE006,2025-03-15 00:00:00,D3KLD,367.26,7345.23,0.05,efe,37887,B0001
202501,AE028,2025-01-18 00:00:00,404AR,1601.93,16019.25,0.1,efe,75157,B0001
202511,AE014,2025-11-07 00:00:00,QDNXI,4490.11,44901.12,0.1,tc,17347,B0001
202510,AE049,2025-10-21 00:00:00,1K5TU,666,6659.99,0.1,transf,93103,B0001
202503,AE009,2025-03-13 00:00:00,LAB0H,3771.77,37717.67,0.1,tc,94324,B0001
202506,AE017,2025-06-07 00:00:00,2WG4G,1663.05,11087.01,0.15,tc,75246,B0001
202511,AE019,2025-11-02 00:00:00,WAWR6,2171.16,43423.16,0.05,transf,57361,B0001
202505,AE027,2025-05-23 00:00:00,H2PEP,1030.29,10302.89,0.1,tc,88947,B0001
202503,AE032,2025-03-29 00:00:00,YRLVE,1935.59,12903.92,0.15,tc,67172,B0001
202512,AE010,2025-12-10 00:00:00,9NUN9,3588.32,35883.2,0.1,transf,10335,B0001
202502,AE005,2025-02-23 00:00:00,A36T4,6582.98,43886.55,0.15,efe,51492,B0001
202503,AE036,2025-03-07 00:00:00,P81AT,817.54,8175.43,0.1,transf,93308,B0001
202501,AE043,2025-01-17 00:00:00,GGJPO,616.27,4108.47,0.15,tc,59349,B0001
202511,AE021,2025-11-07 00:00:00,TKFQE,3954.97,39549.66,0.1,transf,89460,B0001
202508,AE020,2025-08-20 00:00:00,TB6AL,1042.48,6949.84,0.15,efe,36054,B0001
202506,AE049,2025-06-14 00:00:00,YIYVL,3170.87,31708.69,0.1,tc,43676,B0001
202504,AE047,2025-04-01 00:00:00,VU9AM,3024.52,20163.48,0.15,efe,41165,B0001
202507,AE007,2025-07-18 00:00:00,CJRZN,410.51,8210.29,0.05,efe,24764,B0001
202511,AE004,2025-11-04 00:00:00,NB2WI,325.77,6515.34,0.05,transf,70827,B0001
202503,AE040,2025-03-27 00:00:00,15BJ1,475.05,9501.04,0.05,tc,85359,B0001
202509,AE001,2025-09-28 00:00:00,96AX3,1461.95,14619.46,0.1,transf,49861,B0001
202506,AE042,2025-06-20 00:00:00,RZXUC,7110.55,47403.69,0.15,transf,10050,B0001
202501,AE003,2025-01-27 00:00:00,ZBAH2,3807.24,38072.39,0.1,transf,28666,B0001
202507,AE043,2025-07-04 00:00:00,WD4Z7,178.52,1785.21,0.1,tc,49625,B0001
202501,AE009,2025-01-16 00:00:00,B85H3,3935.55,26236.97,0.15,tc,18494,B0001
202509,AE033,2025-09-29 00:00:00,453TP,1115.99,11159.9,0.1,efe,57868,B0001
202512,AE036,2025-12-21 00:00:00,7UJKH,470.6,9411.92,0.05,efe,67571,B0001
202503,AE008,2025-03-16 00:00:00,DK2KL,2147.27,42945.44,0.05,tc,31567,B0001
202509,AE030,2025-09-11 00:00:00,WFCFR,34.64,692.79,0.05,transf,72879,B0001
202508,AE001,2025-08-09 00:00:00,MSGUS,702.8,7027.99,0.1,transf,83857,B0001
202510,AE042,2025-10-13 00:00:00,V5VWH,1451.84,9678.95,0.15,transf,34909,B0001
202504,AE016,2025-04-23 00:00:00,5D8QP,1793.33,17933.29,0.1,transf,13186,B0001
202502,AE030,2025-02-27 00:00:00,UMRA3,3540.34,35403.39,0.1,efe,79199,B0001
202512,AE024,2025-12-06 00:00:00,B5R83,2096.63,41932.53,0.05,tc,67789,B0001
202502,AE001,2025-02-22 00:00:00,FCSAB,1485.18,14851.81,0.1,tc,57126,B0001
202511,AE016,2025-11-16 00:00:00,QGNHW,3687.96,36879.57,0.1,tc,92768,B0001
202506,AE031,2025-06-07 00:00:00,EG6M3,548.21,5482.14,0.1,tc,46571,B0001
202503,AE002,2025-03-08 00:00:00,81HN1,337.91,2252.73,0.15,efe,68844,B0001
202502,AE033,2025-02-08 00:00:00,5YH96,704.66,4697.73,0.15,tc,62145,B0001
202506,AE014,2025-06-17 00:00:00,LDWEK,298.34,1988.93,0.15,efe,98421,B0001
202510,AE039,2025-10-03 00:00:00,7VG80,875.04,8750.43,0.1,tc,17528,B0001
202507,AE005,2025-07-03 00:00:00,8N5QH,1702.7,34054.06,0.05,tc,82427,B0001
202502,AE040,2025-02-20 00:00:00,QKMQG,6597.15,43981.01,0.15,efe,88180,B0001
202507,AE004,2025-07-26 00:00:00,8Z28D,2838.9,28388.96,0.1,efe,20648,B0001
202501,AE020,2025-01-27 00:00:00,VK0Q0,2906.4,29064.01,0.1,transf,17142,B0001
202504,AE050,2025-04-10 00:00:00,QVD2W,328.74,6574.88,0.05,transf,47137,B0001
202506,AE049,2025-06-15 00:00:00,YDWBQ,4519.24,45192.37,0.1,efe,43353,B0001
202504,AE009,2025-04-11 00:00:00,W6CW0,4636.52,46365.18,0.1,efe,43607,B0001
202512,AE048,2025-12-05 00:00:00,QMEVD,3076.63,30766.26,0.1,tc,28033,B0001
202503,AE001,2025-03-12 00:00:00,PB9PN,1333.62,13336.19,0.1,tc,46235,B0001
202509,AE019,2025-09-22 00:00:00,EW9XO,3998.67,39986.67,0.1,tc,84972,B0001
202506,AE043,2025-06-20 00:00:00,4GWHW,6787.38,45249.22,0.15,transf,41503,B0001
202509,AE041,2025-09-20 00:00:00,HLY58,6580.93,43872.85,0.15,efe,64509,B0001
202505,AE046,2025-05-13 00:00:00,XS366,322.16,6443.15,0.05,tc,94494,B0001
202503,AE044,2025-03-26 00:00:00,WX3FF,3726.87,37268.71,0.1,transf,69573,B0001
202501,AE042,2025-01-19 00:00:00,P64G8,3150.91,21006.06,0.15,transf,88218,B0001
202508,AE022,2025-08-20 00:00:00,I4OZE,1214.31,24286.28,0.05,tc,58281,B0001
202505,AE010,2025-05-27 00:00:00,VB5JV,790.39,15807.88,0.05,tc,33209,B0001
202509,AE026,2025-09-25 00:00:00,847J7,1152.68,11526.84,0.1,tc,98950,B0001
202506,AE019,2025-06-14 00:00:00,N0WFA,3130.16,20867.7,0.15,transf,43209,B0001
202511,AE047,2025-11-11 00:00:00,EV7TP,2940.8,19605.34,0.15,tc,45147,B0001
202506,AE044,2025-06-29 00:00:00,J88VM,2416.61,48332.16,0.05,transf,41255,B0001
202511,AE004,2025-11-23 00:00:00,1MHQ1,7050.13,47000.85,0.15,efe,33469,B0001
202506,AE040,2025-06-09 00:00:00,Q0U9J,1632.8,32656,0.05,efe,18081,B0001
202506,AE033,2025-06-26 00:00:00,6LF0M,3251.42,32514.23,0.1,tc,43461,B0001
202508,AE013,2025-08-19 00:00:00,SWGUP,2467.84,16452.29,0.15,efe,25695,B0001
202501,AE021,2025-01-08 00:00:00,KHZUN,3741.03,37410.28,0.1,efe,58181,B0001
202504,AE025,2025-04-21 00:00:00,C73VS,1121.32,11213.23,0.1,transf,64348,B0001
202510,AE030,2025-10-31 00:00:00,UM3HN,487.72,4877.23,0.1,transf,78147,B0001
202501,AE043,2025-01-30 00:00:00,LM428,4030.14,40301.42,0.1,efe,37492,B0001
202504,AE025,2025-04-29 00:00:00,Y4HPN,2743.14,18287.58,0.15,tc,34134,B0001
202505,AE034,2025-05-20 00:00:00,NARWB,79.09,790.87,0.1,transf,96727,B0001
202508,AE006,2025-08-15 00:00:00,CPCM4,3282.2,32821.98,0.1,tc,39480,B0001
202506,AE033,2025-06-21 00:00:00,YTFFD,4138.73,41387.25,0.1,transf,12936,B0001
202503,AE007,2025-03-18 00:00:00,IMQCY,1413.14,14131.41,0.1,transf,82538,B0001
202511,AE015,2025-11-02 00:00:00,BQ718,1303.99,8693.25,0.15,efe,45716,B0001
